city,county,company,subtitle,pay,pay_type,url,sub_code,enrol_date
경기,성남시,송계옥 판교점,주방300/홀270/알바1.3만)판교역 분위기 좋은 숯불닭구이,3000000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80131131&mj_stat=0&optgf=,1010,2021-11-14
서울,송파구,주식회사 에디블 돈부리파스타,송리단길 분위기좋은 돈부리파스타,2430000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80128312&mj_stat=0&optgf=,1010,2021-11-14
경기,고양시,돈콜(뉴트랙 연합 후곡 주엽점) (구)제트콜,[주급100이상] 배달대행 라이더 모집/시간협의가능[일산,1500000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80122131&mj_stat=0&optgf=,1010,2021-11-14
경기,군포시,명성왕족발,산본역 명성왕족발 주방보조 모집합니다,2700000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80111744&mj_stat=0&optgf=,1010,2021-11-14
광주,광산구,오늘 와인 한잔 광주수완점,[급구] 알바 및 정직원 모집,3000000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80099223&mj_stat=0&optgf=,1010,2021-11-14
서울,송파구,나레초밥 신천점,"[나레초밥 잠실새내]홀직원 ,파트,초다이 ,설거지 모집합",2300000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80096944&mj_stat=0&optgf=,1010,2021-11-14
경기,고양시,일산 빠른콜 배달대행,[주급150이상]배달대행 라이더 모집/시간협의가능[일산최,5000000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80096767&mj_stat=0&optgf=,1010,2021-11-14
서울,강동구,길동점 한신포차,길동/천호/강동/평일알바/풀타임직원을 한신포차 길동점,2500000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80095415&mj_stat=0&optgf=,1010,2021-11-14
서울,송파구,수작나베 석촌점,석촌점/주방직원(240만) 매니저(260만) 알바(1만1천) 구,11000,시급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80093916&mj_stat=0&optgf=,1010,2021-11-14
서울,은평구,쿠우쿠우연신내,"[쿠우쿠우연신내]주방보조,초다이(초보환영)직원  모집합",3000000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80090910&mj_stat=0&optgf=,1010,2021-11-14
인천,미추홀,[바로고 주안중앙지점],[신입 월270이상]  미추홀구 지역 배달직원구합니다.,3000000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80087686&mj_stat=0&optgf=,1010,2021-11-14
인천,미추홀,[바로고 주안중앙지점],[신입 월270이상]  미추홀구 지역 배달직원구합니다.,3000000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80087670&mj_stat=0&optgf=,1010,2021-11-14
부산,연제구,동방축산 연산직영점,"홀서빙 직원/알바 모집합니다, 주방보조 모집",2700000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80083193&mj_stat=0&optgf=,1010,2021-11-14
대구,동구,어물전,식당 주말 주차요원 구합니다.,10000,시급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80077569&mj_stat=0&optgf=,1010,2021-11-14
서울,강서구,오봉집 발산 본점,"[오봉집 발산 본점] 홀서빙 알바, 주방직원 (신입/경력)",3000000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80027239&mj_stat=0&optgf=,1010,2021-11-14
서울,강남구,㈜디오비랩,"양식 레스토랑 [비언유주얼] 주방도우미, 주방보조 모집",12000,시급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80024625&mj_stat=0&optgf=,1010,2021-11-14
경기,고양시,봄이보리밥,[봄이보리밥 일산벨라시타점] 주5일 주방팀원 모집합니다,2400000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80016742&mj_stat=0&optgf=,1010,2021-11-14
경기,고양시,광개토,[일산전지역 배달대행 기사님 모집] 24시간 콜폭주/투잡,300000,일급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80005359&mj_stat=0&optgf=,1010,2021-11-14
부산,동래구,먹음직온천천점,"[부산]먹음직,동래,안락동(점심,저녁파트타임&정직원홀매",9000,시급,https://www.albamon.com/recruit/view/gi?AL_GI_No=79941960&mj_stat=0&optgf=,1010,2021-11-14
서울,종로구,제이네,레스토랑 주방 및 서빙 직원 주2-5일 협의 문의주세요,11000,시급,https://www.albamon.com/recruit/view/gi?AL_GI_No=79917147&mj_stat=0&optgf=,1010,2021-11-14
서울,성북구,제주고깃집,홀서빙 알바 구해요 # 시급만원 #,10000,시급,https://www.albamon.com/recruit/view/gi?AL_GI_No=79899071&mj_stat=0&optgf=,1010,2021-11-14
서울,성북구,삼곱식당 을지로점,(꿀서빙)시급11000원 1명/하루7시간근무/월급 240만 1명,11000,시급,https://www.albamon.com/recruit/view/gi?AL_GI_No=79859032&mj_stat=0&optgf=,1010,2021-11-14
서울,강남구,삼성동 하루,"홀직원 및 주방직원 주5일 290,300만원",2900000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=79846617&mj_stat=0&optgf=,1010,2021-11-14
경기,평택시,충만치킨카페죽백점,#급구 #치킨카페 #홀서빙 #주방 #직원구함,9000,시급,https://www.albamon.com/recruit/view/gi?AL_GI_No=79816001&mj_stat=0&optgf=,1010,2021-11-14
부산,동래구,용이초밥 동래점,주방담당 직원/ 홀서빙 직원 모집합니다,2500000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=79761448&mj_stat=0&optgf=,1010,2021-11-14
서울,강남구,코다차야 강남점,[코다차야신논현] 조리부 (주5일+월1회연차) 신입 및 경,2400000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=79714545&mj_stat=0&optgf=,1010,2021-11-14
서울,성동구,송계옥 성수점,(홀270/주방300/파트 시급1.3만) 성수역 분위기 좋은 숯,3000000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=79679100&mj_stat=0&optgf=,1010,2021-11-14
인천,부평구,더 소야소,[더소야소] 홀 서빙 직원/알바 모집합니다.,2750000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=79637049&mj_stat=0&optgf=,1010,2021-11-14
부산,수영구,클램,[클램(CLAM)/광안리점]주방/홀 정직원 평일/주말낮야간알,2600000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=79565295&mj_stat=0&optgf=,1010,2021-11-14
대전,서구,워낭명가(둔산 시청점),"워낭명가 식품,외식 매장영업관리자 경력/직원/알바/주방",4000000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=79530503&mj_stat=0&optgf=,1010,2021-11-14
